Información relacionada a:,Apoyos económicos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS APOYOS ECONÓMICOS","MONTO BRUTO DE LOS APOYOS ECONÓMICOS","MONTO NETO DE LOS APOYOS ECONÓMICOS","TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS","PERIODICIDAD DE LOS APOYOS ECONÓMICOS"
51777505,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775458,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774557,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51777219,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774563,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774862,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775087,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775759,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776913,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769004,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770290,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770591,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772602,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51768801,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772842,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773299,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772848,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773658,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
